Emotion ,Type,pcm_intensity_sma_amean,pcm_fftMag_mfcc_sma1_amean,pcm_fftMag_mfcc_sma2_amean,pcm_fftMag_mfcc_sma3_amean,pcm_fftMag_mfcc_sma4_amean,pcm_fftMag_mfcc_sma5_amean,pcm_fftMag_mfcc_sma6_amean,pcm_fftMag_mfcc_sma7_amean,pcm_fftMag_mfcc_sma8_amean,pcm_fftMag_mfcc_sma10_amean,pcm_fftMag_mfcc_sma11_amean,pcm_fftMag_mfcc_sma12_amean,lspFreq_sma0_amean,lspFreq_sma1_amean,lspFreq_sma2_amean,lspFreq_sma3_amean,lspFreq_sma4_amean,lspFreq_sma5_amean,lspFreq_sma6_amean,lspFreq_sma7_amean,pcm_zcr_sma_amean,voiceProb_sma_amean,F0_sma_amean,F0env_sma_amean
surprised,2,0,0.414355,0.686121,0.381897,0.456462,0.452198,0.277964,0.523436,0.343624,0.625901,0.382755,0.503171,0.533859,0.511785,0.469371,0.609518,0.489365,0.290208,0.158068,0.688782,0.083345,0.672201,0.400192,0.66496
surprised,2,0,0.399366,0.682385,0.482966,0.581501,0.415656,0.152959,0.469621,0.317749,0.482892,0.370988,0.576608,0.581434,0.518327,0.456417,0.603774,0.48653,0.286973,0.167811,0.699814,0.100356,0.695639,0.411687,0.59818
surprised,2,0,0.380959,0.698831,0.475129,0.558264,0.42355,0.162102,0.45579,0.326888,0.551658,0.378604,0.575797,0.579315,0.52203,0.475671,0.613179,0.492694,0.299313,0.174424,0.704163,0.095681,0.691922,0.398576,0.583173
surprised,2,0,0.401318,0.686501,0.434734,0.463488,0.42679,0.2497,0.482965,0.334771,0.585587,0.380624,0.534607,0.547136,0.525254,0.46649,0.592373,0.490379,0.289423,0.165576,0.693479,0.088464,0.701519,0.401643,0.612481
surprised,2,0,0.320939,0.831722,0.471172,0.487203,0.477881,0.279332,0.573236,0.3629,0.604519,0.409426,0.54319,0.593055,0.64435,0.620219,0.675156,0.512481,0.335221,0.187897,0.718943,0.10623,0.62854,0.318682,0.460176
surprised,2,0,0.378875,0.769997,0.46478,0.496599,0.40801,0.20264,0.518217,0.321437,0.606688,0.409356,0.549847,0.559242,0.545017,0.508852,0.645198,0.492311,0.310229,0.16487,0.693106,0.088502,0.677798,0.395867,0.619301
surprised,2,0,0.308835,0.850111,0.48321,0.481463,0.47541,0.285825,0.562094,0.3188,0.625283,0.426269,0.548269,0.611783,0.657441,0.611472,0.667845,0.507329,0.330455,0.184606,0.717161,0.111941,0.630742,0.365415,0.505388
surprised,2,0,0.390903,0.744684,0.407009,0.433978,0.449235,0.233505,0.565648,0.374546,0.538243,0.35735,0.525006,0.527225,0.527646,0.505044,0.600815,0.454033,0.203385,0.131537,0.688056,0.088418,0.702322,0.413623,0.661602
surprised,2,0,0.343726,0.780528,0.451583,0.473046,0.485318,0.251809,0.516572,0.238356,0.679392,0.422369,0.498382,0.583402,0.571785,0.532517,0.602918,0.444089,0.185166,0.117196,0.694185,0.083253,0.667669,0.361713,0.578608
surprised,2,0,0.365624,0.801781,0.477252,0.464281,0.426337,0.291116,0.566587,0.218383,0.62396,0.416754,0.537049,0.579764,0.564903,0.516072,0.646267,0.472126,0.280455,0.170066,0.696006,0.085595,0.667703,0.375965,0.580345
surprised,2,0,0.426244,0.742088,0.422644,0.435267,0.43294,0.287951,0.506537,0.218248,0.623495,0.442903,0.52943,0.530279,0.533808,0.491406,0.632623,0.496702,0.301092,0.171506,0.70339,0.089841,0.699911,0.461324,0.673528
surprised,2,0,0.392652,0.736142,0.43842,0.450179,0.407433,0.248274,0.517329,0.319801,0.645293,0.397451,0.531522,0.546265,0.531012,0.472073,0.624273,0.479622,0.285151,0.159887,0.697958,0.089681,0.714983,0.403151,0.59068
surprised,2,0,0.377108,0.802341,0.449323,0.454722,0.504497,0.298635,0.510273,0.239535,0.573733,0.325217,0.419188,0.569813,0.55478,0.537128,0.600088,0.455005,0.21752,0.141169,0.69208,0.125667,0.682252,0.422153,0.612849
surprised,2,0,0.359269,0.818277,0.441677,0.413635,0.443887,0.295527,0.576868,0.263222,0.521434,0.323651,0.474007,0.541569,0.578986,0.536344,0.587856,0.415682,0.163213,0.093264,0.675105,0.085526,0.720053,0.423416,0.640725
surprised,2,0,0.356641,0.728856,0.427551,0.403711,0.451803,0.283131,0.535178,0.381044,0.504686,0.313703,0.453391,0.542627,0.545115,0.49485,0.563055,0.443938,0.193627,0.100533,0.673457,0.079423,0.698938,0.427435,0.623319
surprised,2,0,0.336414,0.7976,0.486947,0.436085,0.451462,0.265095,0.583291,0.286511,0.464189,0.379889,0.465413,0.584008,0.572441,0.50566,0.561198,0.425909,0.187041,0.125208,0.685258,0.087403,0.729907,0.464087,0.661398
surprised,2,0,0.386809,0.813316,0.462125,0.439852,0.436665,0.275537,0.568271,0.293111,0.540686,0.326006,0.47142,0.50211,0.5695,0.532127,0.617911,0.457547,0.2319,0.151448,0.704527,0.085934,0.695855,0.373502,0.596828
surprised,2,0,0.265493,0.812433,0.530165,0.395404,0.429755,0.175974,0.585608,0.326295,0.601599,0.363872,0.483844,0.65226,0.608121,0.49579,0.526772,0.385203,0.174004,0.127083,0.684509,0.104148,0.74477,0.481247,0.67779
surprised,2,0,0.339653,0.773485,0.44689,0.468518,0.411842,0.226565,0.546133,0.298824,0.529443,0.378423,0.527173,0.571995,0.564851,0.518287,0.59165,0.425186,0.187427,0.117891,0.700584,0.093408,0.697863,0.479619,0.713241
surprised,2,0,0.329188,0.82204,0.448966,0.482228,0.465535,0.286116,0.561404,0.31118,0.580471,0.352246,0.527394,0.582098,0.597839,0.576651,0.612149,0.433338,0.183104,0.132036,0.688201,0.088064,0.647612,0.369789,0.710466
surprised,2,0,0.386955,0.844298,0.449055,0.4067,0.437041,0.279766,0.522354,0.223223,0.520567,0.336056,0.487771,0.511548,0.581561,0.544058,0.595972,0.435687,0.191895,0.116163,0.677146,0.089231,0.644977,0.381284,0.646622
surprised,2,0,0.322328,0.757856,0.432983,0.436235,0.466262,0.289475,0.569995,0.294276,0.466259,0.325714,0.525475,0.579224,0.567161,0.526693,0.58554,0.429532,0.169711,0.075022,0.676818,0.083646,0.691655,0.430816,0.659721
surprised,2,0,0.345037,0.764762,0.423106,0.399865,0.466998,0.216816,0.499283,0.3616,0.476456,0.31744,0.42662,0.554838,0.582458,0.510662,0.578784,0.428594,0.180094,0.114511,0.675207,0.077766,0.705318,0.503054,0.740388
surprised,2,0,0.359423,0.784345,0.447474,0.417762,0.498985,0.291697,0.549931,0.252792,0.608974,0.334321,0.461157,0.553306,0.567811,0.519453,0.581516,0.444064,0.200046,0.134486,0.677904,0.081364,0.735469,0.477978,0.67475
surprised,2,0,0.345516,0.772601,0.451365,0.46448,0.461736,0.213182,0.514593,0.296168,0.53363,0.325266,0.466603,0.555188,0.547922,0.526217,0.57479,0.431793,0.193781,0.122501,0.671355,0.078782,0.720556,0.473432,0.668116
surprised,2,0,0.306173,0.846828,0.512591,0.479496,0.437792,0.227653,0.584896,0.253415,0.584235,0.403498,0.522855,0.602422,0.609089,0.550384,0.593913,0.446207,0.187872,0.13168,0.685819,0.085442,0.705139,0.427789,0.62447
surprised,2,0,0.362413,0.714831,0.451124,0.499504,0.438953,0.25851,0.541348,0.349692,0.547893,0.360529,0.535787,0.590539,0.549238,0.518472,0.624746,0.48899,0.284254,0.165883,0.701792,0.128613,0.675058,0.440687,0.67284
surprised,2,0,0.412483,0.683862,0.374053,0.484765,0.486537,0.272043,0.478164,0.301102,0.680583,0.360272,0.478299,0.530436,0.493942,0.48954,0.632168,0.470138,0.28199,0.171015,0.688755,0.097311,0.643275,0.345246,0.564903
surprised,2,0,0.410383,0.748233,0.43001,0.402069,0.413293,0.29692,0.511856,0.24987,0.595064,0.420925,0.541186,0.519647,0.524014,0.491324,0.603385,0.490104,0.284327,0.162206,0.687832,0.080971,0.728738,0.496407,0.694286
surprised,2,0,0.292176,0.806819,0.445125,0.433588,0.453092,0.309955,0.568984,0.29049,0.610347,0.377388,0.51868,0.6037,0.622327,0.551705,0.599225,0.436866,0.173493,0.068013,0.677704,0.109847,0.727383,0.427362,0.597319
surprised,2,0,0.310968,0.796313,0.447128,0.482182,0.537225,0.286669,0.53844,0.353451,0.619512,0.353787,0.517356,0.630164,0.635268,0.57669,0.64588,0.489005,0.314541,0.174963,0.703734,0.105272,0.641947,0.423797,0.66034
surprised,2,0,0.40011,0.677717,0.412718,0.491867,0.467178,0.283745,0.512685,0.342613,0.593226,0.346137,0.484895,0.556362,0.507401,0.491811,0.607699,0.497456,0.297263,0.169486,0.714915,0.09884,0.710754,0.476581,0.772752
surprised,2,0,0.39382,0.729736,0.44865,0.464502,0.40168,0.24934,0.540208,0.346444,0.57035,0.393272,0.557955,0.562816,0.534569,0.486852,0.611937,0.502622,0.303196,0.17106,0.701126,0.10137,0.688853,0.404813,0.590005
surprised,2,0,0.417077,0.717216,0.404068,0.437987,0.454711,0.311185,0.526762,0.295852,0.603414,0.394735,0.538047,0.540602,0.518752,0.489977,0.620979,0.501309,0.300389,0.162701,0.69704,0.091928,0.68731,0.410775,0.638868
surprised,2,0,0.425155,0.715759,0.403932,0.414034,0.447176,0.35882,0.562511,0.278049,0.581053,0.368958,0.496326,0.452649,0.521216,0.500656,0.606332,0.496202,0.306182,0.174202,0.713438,0.085194,0.765123,0.551406,0.746012
surprised,2,0,0.325906,0.764595,0.435084,0.486338,0.497537,0.3617,0.598516,0.317,0.599199,0.377941,0.528707,0.580957,0.554697,0.567395,0.655131,0.46636,0.262023,0.165262,0.702044,0.102659,0.634009,0.347936,0.535579
surprised,2,0,0.400966,0.759935,0.428677,0.466462,0.451059,0.272601,0.503191,0.27801,0.548288,0.384374,0.551567,0.541046,0.533844,0.528608,0.620954,0.478977,0.277115,0.162438,0.701,0.096986,0.713491,0.453877,0.688253
surprised,2,0,0.480228,0.775395,0.416448,0.679308,0.747934,0.528026,0.674959,0.499782,0.592703,0.529178,0.482612,0.685362,0.830324,0.877033,0.928209,0.876269,0.956808,0.976508,0.998456,1,0.278567,0,0
surprised,2,0,0.376693,0.836236,0.467976,0.457267,0.485047,0.300026,0.536446,0.300421,0.554629,0.377146,0.49267,0.532007,0.588,0.558526,0.628154,0.467178,0.24146,0.169926,0.715453,0.11864,0.694802,0.435636,0.632569
surprised,2,0,0.345463,0.823821,0.43483,0.449296,0.464745,0.247878,0.513976,0.308936,0.539651,0.384649,0.482086,0.542197,0.630715,0.554823,0.593089,0.436915,0.16167,0.048764,0.676013,0.08587,0.681424,0.42131,0.61952
surprised,2,0,0.354021,0.76152,0.447903,0.415622,0.493905,0.239232,0.524375,0.330749,0.502115,0.295794,0.471375,0.559482,0.558806,0.490382,0.558485,0.421321,0.201337,0.134141,0.681317,0.089387,0.707507,0.463709,0.660666
surprised,2,0,0.319523,0.803138,0.466037,0.390352,0.46531,0.206428,0.505472,0.300053,0.620445,0.351556,0.449218,0.56065,0.607082,0.507541,0.54944,0.384802,0.182804,0.113273,0.685613,0.082227,0.761248,0.476305,0.672645
surprised,2,0,0.349958,0.767426,0.446021,0.402871,0.503332,0.204616,0.528011,0.351839,0.607833,0.279155,0.44889,0.53945,0.583987,0.507773,0.532723,0.416581,0.175925,0.106985,0.663953,0.083013,0.73123,0.433718,0.624506
surprised,2,0,0.348582,0.784626,0.487516,0.401798,0.457958,0.173084,0.491426,0.346407,0.638958,0.35304,0.50413,0.532624,0.565827,0.501658,0.53438,0.427329,0.209161,0.140858,0.698987,0.091024,0.758265,0.422245,0.60895
surprised,2,0,0.343623,0.784459,0.44314,0.42554,0.488913,0.264899,0.488396,0.269562,0.602955,0.369684,0.472372,0.548572,0.583829,0.515548,0.587468,0.432645,0.17117,0.117727,0.6742,0.080682,0.663956,0.397472,0.63206
surprised,2,0,0.323354,0.81323,0.43037,0.462034,0.463347,0.231109,0.525058,0.328575,0.531244,0.321745,0.478038,0.615682,0.618966,0.547955,0.608232,0.440057,0.155239,0.063145,0.669889,0.105414,0.697748,0.3982,0.611831
surprised,2,0,0.350132,0.795291,0.509777,0.406442,0.461813,0.235057,0.523823,0.301526,0.536615,0.361342,0.435508,0.588265,0.571595,0.503336,0.552734,0.434006,0.238984,0.145921,0.687288,0.084099,0.740338,0.428269,0.651867
surprised,2,0,0.37306,0.811399,0.502422,0.388521,0.474059,0.243404,0.494553,0.303221,0.626854,0.365663,0.454259,0.527598,0.586456,0.502372,0.577314,0.457781,0.246877,0.165279,0.690519,0.074333,0.7335,0.437706,0.618473
surprised,2,0,0.326758,0.827828,0.530498,0.407559,0.448742,0.22986,0.516917,0.261914,0.605238,0.398467,0.499954,0.560656,0.596866,0.508782,0.550311,0.426441,0.220605,0.135063,0.687852,0.085615,0.754859,0.446416,0.64184
surprised,2,0,0.332536,0.831,0.502075,0.428104,0.476402,0.277672,0.553393,0.265255,0.5679,0.386844,0.493669,0.554221,0.612235,0.531817,0.587581,0.444714,0.228598,0.129419,0.688808,0.095426,0.716342,0.425423,0.612934
surprised,2,0,0.373965,0.756413,0.446809,0.406859,0.457582,0.268643,0.556012,0.28734,0.592968,0.312948,0.460774,0.55402,0.553447,0.481867,0.576069,0.444865,0.222535,0.140009,0.678134,0.089165,0.698253,0.44546,0.631857
surprised,2,0,0.384826,0.822458,0.441608,0.379224,0.48986,0.256066,0.550281,0.277242,0.610459,0.36636,0.470391,0.509635,0.567515,0.527122,0.558248,0.446372,0.217988,0.135951,0.690482,0.091131,0.695089,0.409454,0.579652
surprised,2,0,0.374605,0.788902,0.445522,0.426938,0.465766,0.160497,0.501446,0.39984,0.600074,0.322745,0.458402,0.514177,0.560194,0.512465,0.573597,0.431689,0.219986,0.14282,0.691532,0.093538,0.727457,0.405771,0.609911
surprised,2,0,0.304193,0.83563,0.498246,0.438178,0.473525,0.238406,0.502532,0.293901,0.60292,0.370573,0.489038,0.612342,0.618156,0.542882,0.581776,0.442583,0.204078,0.124512,0.678843,0.100489,0.659004,0.379881,0.589247
surprised,2,0,0.374733,0.781675,0.477941,0.407165,0.424031,0.256749,0.577455,0.286299,0.636508,0.374907,0.495655,0.538111,0.550535,0.488889,0.582106,0.464891,0.252893,0.155353,0.693168,0.082253,0.697398,0.40325,0.62986
surprised,2,0,0.391822,0.798673,0.446571,0.375945,0.464774,0.247101,0.565971,0.278774,0.602709,0.30506,0.427115,0.470581,0.556401,0.508857,0.567592,0.448334,0.233772,0.155929,0.686478,0.071132,0.76847,0.447123,0.617941
surprised,2,0,0.279438,0.830009,0.503369,0.438602,0.467785,0.252991,0.527467,0.276629,0.591426,0.372436,0.498211,0.637387,0.611389,0.545179,0.578124,0.43279,0.201252,0.122744,0.678745,0.095395,0.683446,0.397181,0.606837
surprised,2,0,0.322426,0.848237,0.49779,0.42206,0.474291,0.247955,0.61468,0.344665,0.625184,0.357122,0.475414,0.56394,0.644473,0.533565,0.616367,0.455282,0.296785,0.168892,0.710359,0.090581,0.68185,0.377263,0.608579
surprised,2,0,0.309924,0.857979,0.474475,0.494918,0.491648,0.294613,0.562784,0.33624,0.609058,0.419455,0.523723,0.602196,0.639201,0.577585,0.615505,0.433187,0.170344,0.118084,0.69753,0.103617,0.666313,0.353926,0.541711
surprised,2,0,0.307915,0.79073,0.508655,0.52085,0.586972,0.447987,0.672503,0.525329,0.685263,0.449295,0.531637,0.671619,0.695254,0.668858,0.730709,0.481284,0.443218,0.521219,0.815136,0.123192,0.553272,0.414259,0.928578
angry,3,0,0.446798,0.739298,0.449128,0.471217,0.415776,0.267655,0.589791,0.344997,0.486105,0.340989,0.484412,0.552088,0.54323,0.47853,0.643683,0.540164,0.328962,0.185568,0.715877,0.124817,0.690035,0.422564,0.620897
angry,3,0,0.29503,0.719581,0.575091,0.47817,0.383893,0.270835,0.571093,0.247383,0.545458,0.409737,0.582644,0.641642,0.577062,0.484782,0.577256,0.503192,0.298358,0.159175,0.696719,0.120056,0.667167,0.419138,0.673666
angry,3,0,0.390685,0.683845,0.502731,0.534172,0.356302,0.185057,0.569464,0.303832,0.583511,0.415009,0.521178,0.610262,0.520353,0.462293,0.605531,0.514731,0.31381,0.169182,0.702613,0.103788,0.650755,0.34118,0.587848
angry,3,0,0.426078,0.712723,0.485025,0.468974,0.381954,0.227545,0.501915,0.228864,0.601206,0.437537,0.498634,0.554425,0.543805,0.453851,0.570122,0.513179,0.306098,0.17746,0.712126,0.099111,0.693226,0.376618,0.559063
angry,3,0,0.390964,0.721884,0.455696,0.520499,0.465901,0.271585,0.548505,0.355,0.540071,0.343096,0.467335,0.557029,0.555106,0.516191,0.683115,0.550572,0.349417,0.190802,0.723039,0.129188,0.662648,0.382116,0.596126
angry,3,0,0.432434,0.699474,0.515158,0.522777,0.359478,0.162302,0.533248,0.280379,0.551275,0.443577,0.51463,0.552071,0.518937,0.437663,0.600353,0.510646,0.304088,0.168326,0.696847,0.085728,0.717239,0.416754,0.591937
angry,3,0,0.42748,0.746938,0.515338,0.532043,0.365525,0.168435,0.489037,0.222663,0.511085,0.409419,0.543774,0.556271,0.533615,0.463084,0.631095,0.523503,0.317196,0.177927,0.700847,0.079606,0.700645,0.403818,0.587712
angry,3,0,0.413943,0.766074,0.524565,0.508275,0.360194,0.191951,0.505952,0.216893,0.519549,0.400957,0.511674,0.538698,0.549739,0.487808,0.667625,0.538729,0.337781,0.184773,0.714271,0.097193,0.68408,0.457927,0.665328
angry,3,0,0.402955,0.727419,0.545619,0.530279,0.384274,0.173337,0.488184,0.273691,0.487915,0.411102,0.541051,0.573919,0.548342,0.45579,0.604733,0.514223,0.309174,0.162058,0.699027,0.091352,0.707641,0.393568,0.594779
angry,3,0,0.302619,0.755987,0.488347,0.440837,0.421516,0.323264,0.574851,0.308932,0.550885,0.394938,0.521107,0.626355,0.578755,0.54079,0.704034,0.563878,0.353898,0.198209,0.725849,0.115328,0.684291,0.442881,0.672634
angry,3,0,0.412006,0.701585,0.493641,0.521074,0.376965,0.215942,0.578525,0.331496,0.500703,0.412359,0.554384,0.57371,0.533789,0.507349,0.63101,0.533665,0.326954,0.195944,0.721131,0.103125,0.62692,0.390506,0.727748
